Country, Variable, Unit, Symbol, "2020"
Afghanistan, Agricultural water withdrawal, 10^9 m3/year, I, 20
Afghanistan, Agricultural water withdrawal as % of total renewable water resources, %, I, 30.61
Afghanistan, Agricultural water withdrawal as % of total water withdrawal, %, E, 98.17
Afghanistan, Environmental Flow Requirements, 10^9 m3/year, I, 28.29
Afghanistan, Fresh groundwater withdrawal, 10^9 m3/year, I, 3.04
Afghanistan, Fresh surface water withdrawal, 10^9 m3/year, I, 17.24
Afghanistan, Industrial water withdrawal, 10^9 m3/year, I, 0.17
Afghanistan, Industrial water withdrawal as % of total water withdrawal, %, E, 0.83
Afghanistan, Irrigation water requirement, 10^9 m3/year, I, 10.9
Afghanistan, MDG 7.5. Freshwater withdrawal as % of total renewable water resources, %, I, 31.05
Afghanistan, Municipal water withdrawal, 10^9 m3/year, I, 0.2
Afghanistan, Municipal water withdrawal as % of total withdrawal, %, E, 1
Afghanistan, SDG 6.4.1. Industrial Water Use Efficiency, US$/m3, E, 12.67
Afghanistan, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, US$/m3, E, 0.12
Afghanistan, SDG 6.4.1. Services Water Use Efficiency, US$/m3, E, 57.21
Afghanistan, SDG 6.4.1. Water Use Efficiency, US$/m3, I, 0.8
Afghanistan, SDG 6.4.2. Water Stress, %, E, 54.76
Afghanistan, Total freshwater withdrawal, 10^9 m3/year, I, 20.28
Afghanistan, Total water withdrawal, 10^9 m3/year, E, 20.37
Afghanistan, Total water withdrawal per capita, m3/inhab/year, E, 523.34
Albania, Agricultural water withdrawal, 10^9 m3/year, , 0.55
Albania, Agricultural water withdrawal as % of total renewable water resources, %, E, 1.8
Albania, Agricultural water withdrawal as % of total water withdrawal, %, E, 69.34
Albania, Collected municipal wastewater, 10^9 m3/year, , 0.07
Albania, Desalinated water produced, 10^9 m3/year, I, 
Albania, Direct use of agricultural drainage water, 10^9 m3/year, I, 
Albania, Direct use of treated municipal wastewater, 10^9 m3/year, I, 
Albania, Direct use of treated municipal wastewater for irrigation purposes, 10^9 m3/year, I, 0.54
Albania, Environmental Flow Requirements, 10^9 m3/year, I, 13.56
Albania, Fresh groundwater withdrawal, 10^9 m3/year, , 0.08
Albania, Fresh surface water withdrawal, 10^9 m3/year, , 0.7
Albania, Industrial water withdrawal, 10^9 m3/year, , 0.02
Albania, Industrial water withdrawal as % of total water withdrawal, %, E, 2.04
Albania, Irrigation water requirement, 10^9 m3/year, I, 0.32
Albania, Irrigation water withdrawal, 10^9 m3/year, , 0.55
Albania, MDG 7.5. Freshwater withdrawal as % of total renewable water resources, %, E, 2.6
Albania, Municipal water withdrawal, 10^9 m3/year, , 0.23
Albania, Municipal water withdrawal as % of total withdrawal, %, E, 28.63
Albania, Number of municipal wastewater treatment facilities, , I, 7
Albania, Produced municipal wastewater, 10^9 m3/year, , 0.23
Albania, SDG 6.4.1. Industrial Water Use Efficiency, US$/m3, E, 134.43
Albania, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, US$/m3, E, 1.72
Albania, SDG 6.4.1. Services Water Use Efficiency, US$/m3, E, 28.53
Albania, SDG 6.4.1. Water Use Efficiency, US$/m3, I, 12.1
Albania, SDG 6.4.2. Water Stress, %, E, 4.72
Albania, Total freshwater withdrawal, 10^9 m3/year, , 0.79
Albania, Total water withdrawal, 10^9 m3/year, , 0.79
Albania, Total water withdrawal per capita, m3/inhab/year, E, 273.13
Albania, Treated municipal wastewater, 10^9 m3/year, , 0.01
Albania, Water withdrawal for aquaculture, 10^9 m3/year, I, 
Albania, Water withdrawal for cooling of thermoelectric plants, 10^9 m3/year, I, 
Albania, Water withdrawal for livestock (watering and cleaning), 10^9 m3/year, I, 0.08
Algeria, Agricultural water withdrawal, 10^9 m3/year, I, 6.67
Algeria, Agricultural water withdrawal as % of total renewable water resources, %, I, 57.18
Algeria, Agricultural water withdrawal as % of total water withdrawal, %, I, 63.76
Algeria, Area equipped for irrigation by direct use of treated municipal wastewater, 1000 ha, I, 1.2
Algeria, Capacity of the municipal wastewater treatment facilities, 10^9 m3/year, I, 0.27
Algeria, Collected municipal wastewater, 10^9 m3/year, I, 0.7
Algeria, Desalinated water produced, 10^9 m3/year, I, 0.63
Algeria, Direct use of treated municipal wastewater, 10^9 m3/year, I, 0.05
Algeria, Direct use of treated municipal wastewater for irrigation purposes, 10^9 m3/year, I, 0.01
Algeria, Environmental Flow Requirements, 10^9 m3/year, I, 4.56
Algeria, Fresh groundwater withdrawal, 10^9 m3/year, I, 8.1
Algeria, Fresh surface water withdrawal, 10^9 m3/year, I, 1.7
Algeria, Industrial water withdrawal, 10^9 m3/year, I, 0.19
Algeria, Industrial water withdrawal as % of total water withdrawal, %, I, 1.83
Algeria, Irrigation water requirement, 10^9 m3/year, I, 2.51
Algeria, Irrigation water withdrawal, 10^9 m3/year, I, 3.5
Algeria, MDG 7.5. Freshwater withdrawal as % of total renewable water resources, %, I, 84.01
Algeria, Municipal water withdrawal, 10^9 m3/year, I, 3.6
Algeria, Municipal water withdrawal as % of total withdrawal, %, I, 34.41
Algeria, Not treated municipal wastewater, 10^9 m3/year, I, 0.5
Algeria, Not treated municipal wastewater discharged (secondary water), 10^9 m3/year, I, 0.22
Algeria, Number of municipal wastewater treatment facilities, , I, 138
Algeria, Produced municipal wastewater, 10^9 m3/year, I, 1.5
Algeria, SDG 6.4.1. Industrial Water Use Efficiency, US$/m3, E, 272.11
Algeria, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, US$/m3, E, 0.99
Algeria, SDG 6.4.1. Services Water Use Efficiency, US$/m3, E, 23.87
Algeria, SDG 6.4.1. Water Use Efficiency, US$/m3, E, 13.81
Algeria, SDG 6.4.2. Water Stress, %, E, 137.92
Algeria, Total freshwater withdrawal, 10^9 m3/year, I, 9.8
Algeria, Total water withdrawal, 10^9 m3/year, I, 10.46
Algeria, Total water withdrawal per capita, m3/inhab/year, E, 238.58
Algeria, Treated municipal wastewater, 10^9 m3/year, I, 0.4
Andorra, Environmental Flow Requirements, 10^9 m3/year, I, 0.19
Angola, Agricultural water withdrawal, 10^9 m3/year, I, 0.15
Angola, Agricultural water withdrawal as % of total renewable water resources, %, I, 0.1
Angola, Agricultural water withdrawal as % of total water withdrawal, %, I, 20.78
Angola, Desalinated water produced, 10^9 m3/year, I, 
Angola, Environmental Flow Requirements, 10^9 m3/year, I, 110.7
